"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","Tags"
"LRBaseDb for Anolis carolinensis (Anole lizard, v009)","Correspondence table between Ligand Gene ID and Receptor ID for Anolis carolinensis (Anole lizard)","3.21",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","03-Feb-2025","Anolis carolinensis",28377,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v009/LRBase.Aca.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Aca.eg.db:Anolis carolinensis:Anole lizard:v009"
"LRBaseDb for Aquila chrysaetos chrysaetos (Golden eagle, v009)","Correspondence table between Ligand Gene ID and Receptor ID for Aquila chrysaetos chrysaetos (Golden eagle)","3.21",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","03-Feb-2025","Aquila chrysaetos chrysaetos",223781,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v009/LRBase.Acc.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Acc.eg.db:Aquila chrysaetos chrysaetos:Golden eagle:v009"
"LRBaseDb for Astatotilapia calliptera (Eastern happy, v009)","Correspondence table between Ligand Gene ID and Receptor ID for Astatotilapia calliptera (Eastern happy)","3.21",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","03-Feb-2025","Astatotilapia calliptera",8154,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v009/LRBase.Acl.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Acl.eg.db:Astatotilapia calliptera:Eastern happy:v009"
"LRBaseDb for Ailuropoda melanoleuca (Panda, v009)","Correspondence table between Ligand Gene ID and Receptor ID for Ailuropoda melanoleuca (Panda)","3.21",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","03-Feb-2025","Ailuropoda melanoleuca",9646,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v009/LRBase.Ame.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Ame.eg.db:Ailuropoda melanoleuca:Panda:v009"
"LRBaseDb for Apis mellifera (Honey bee, v009)","Correspondence table between Ligand Gene ID and Receptor ID for Apis mellifera (Honey bee)","3.21",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","03-Feb-2025","Apis mellifera",7460,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v009/LRBase.Aml.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Aml.eg.db:Apis mellifera:Honey bee:v009"
"LRBaseDb for Astyanax mexicanus (Mexican tetra, v009)","Correspondence table between Ligand Gene ID and Receptor ID for Astyanax mexicanus (Mexican tetra)","3.21",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","03-Feb-2025","Astyanax mexicanus",7994,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v009/LRBase.Amx.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Amx.eg.db:Astyanax mexicanus:Mexican tetra:v009"
"LRBaseDb for Aotus nancymaae (Ma's night monkey, v009)","Correspondence table between Ligand Gene ID and Receptor ID for Aotus nancymaae (Ma's night monkey)","3.21",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","03-Feb-2025","Aotus nancymaae",37293,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v009/LRBase.Ann.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Ann.eg.db:Aotus nancymaae:Ma's night monkey:v009"
"LRBaseDb for Anabas testudineus (Climbing perch, v009)","Correspondence table between Ligand Gene ID and Receptor ID for Anabas testudineus (Climbing perch)","3.21",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","03-Feb-2025","Anabas testudineus",64144,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v009/LRBase.Ate.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Ate.eg.db:Anabas testudineus:Climbing perch:v009"
"LRBaseDb for Arabidopsis thaliana (Thale cress, v009)","Correspondence table between Ligand Gene ID and Receptor ID for Arabidopsis thaliana (Thale cress)","3.21",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","03-Feb-2025","Arabidopsis thaliana",3702,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v009/LRBase.Ath.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Ath.eg.db:Arabidopsis thaliana:Thale cress:v009"
"LRBaseDb for Bison bison bison (American bison, v009)","Correspondence table between Ligand Gene ID and Receptor ID for Bison bison bison (American bison)","3.21",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","03-Feb-2025","Bison bison bison",43346,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v009/LRBase.Bbb.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Bbb.eg.db:Bison bison bison:American bison:v009"
