"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","Tags"
"LRBaseDb for Anolis carolinensis (Anole lizard, v004)","Correspondence table between Ligand Gene ID and Receptor ID for Anolis carolinensis (Anole lizard)","3.16",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","03-Sep-2022","Anolis carolinensis",28377,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v004/LRBase.Aca.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Aca.eg.db:Anolis carolinensis:Anole lizard:v004"
"LRBaseDb for Aquila chrysaetos chrysaetos (Golden eagle, v004)","Correspondence table between Ligand Gene ID and Receptor ID for Aquila chrysaetos chrysaetos (Golden eagle)","3.16",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","03-Sep-2022","Aquila chrysaetos chrysaetos",223781,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v004/LRBase.Acc.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Acc.eg.db:Aquila chrysaetos chrysaetos:Golden eagle:v004"
"LRBaseDb for Astatotilapia calliptera (Eastern happy, v004)","Correspondence table between Ligand Gene ID and Receptor ID for Astatotilapia calliptera (Eastern happy)","3.16",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","03-Sep-2022","Astatotilapia calliptera",8154,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v004/LRBase.Acl.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Acl.eg.db:Astatotilapia calliptera:Eastern happy:v004"
"LRBaseDb for Anopheles gambiae str. PEST (Anopheline, v004)","Correspondence table between Ligand Gene ID and Receptor ID for Anopheles gambiae str. PEST (Anopheline)","3.16",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","03-Sep-2022","Anopheles gambiae str. PEST",180454,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v004/LRBase.Aga.PEST.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Aga.PEST.eg.db:Anopheles gambiae str. PEST:Anopheline:v004"
"LRBaseDb for Ailuropoda melanoleuca (Panda, v004)","Correspondence table between Ligand Gene ID and Receptor ID for Ailuropoda melanoleuca (Panda)","3.16",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","03-Sep-2022","Ailuropoda melanoleuca",9646,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v004/LRBase.Ame.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Ame.eg.db:Ailuropoda melanoleuca:Panda:v004"
"LRBaseDb for Apis mellifera (Honey bee, v004)","Correspondence table between Ligand Gene ID and Receptor ID for Apis mellifera (Honey bee)","3.16",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","03-Sep-2022","Apis mellifera",7460,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v004/LRBase.Aml.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Aml.eg.db:Apis mellifera:Honey bee:v004"
"LRBaseDb for Astyanax mexicanus (Mexican tetra, v004)","Correspondence table between Ligand Gene ID and Receptor ID for Astyanax mexicanus (Mexican tetra)","3.16",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","03-Sep-2022","Astyanax mexicanus",7994,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v004/LRBase.Amx.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Amx.eg.db:Astyanax mexicanus:Mexican tetra:v004"
"LRBaseDb for Aotus nancymaae (Ma's night monkey, v004)","Correspondence table between Ligand Gene ID and Receptor ID for Aotus nancymaae (Ma's night monkey)","3.16",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","03-Sep-2022","Aotus nancymaae",37293,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v004/LRBase.Ann.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Ann.eg.db:Aotus nancymaae:Ma's night monkey:v004"
"LRBaseDb for Anabas testudineus (Climbing perch, v004)","Correspondence table between Ligand Gene ID and Receptor ID for Anabas testudineus (Climbing perch)","3.16",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","03-Sep-2022","Anabas testudineus",64144,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v004/LRBase.Ate.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Ate.eg.db:Anabas testudineus:Climbing perch:v004"
"LRBaseDb for Arabidopsis thaliana (Thale cress, v004)","Correspondence table between Ligand Gene ID and Receptor ID for Arabidopsis thaliana (Thale cress)","3.16",NA,"CSV","https://github.com/rikenbit/lrbase-workflow","03-Sep-2022","Arabidopsis thaliana",3702,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v004/LRBase.Ath.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Ath.eg.db:Arabidopsis thaliana:Thale cress:v004"
